ADDRESS,POINTS
9600 SOUTHLAND CI SW,-181.891 -8982.900|-175.879 -8976.873|-168.050 -8969.045|-142.080 -8943.037|-158.375 -8926.613|-141.109 -8909.322|-232.796 -8909.200|-232.845 -8926.891|-232.705 -8944.571|-232.460 -8959.527|-205.086 -8959.582|-201.828 -8962.851
1902 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1903 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1904 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1905 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1906 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1907 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1908 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1909 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1910 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1002 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
607 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
8943 ELBOW DR SW,-947.041 -8270.663|-927.517 -8270.663|-926.447 -8234.113|-947.027 -8234.102
727 HERITAGE DR SW,-642.955 -7643.602|-642.948 -7631.415|-647.499 -7626.856|-673.273 -7626.844|-673.280 -7643.590
