ADDRESS,POINTS
9600 SOUTHLAND CI SW,-181.891 -8982.900|-175.879 -8976.873|-168.050 -8969.045|-142.080 -8943.037|-158.375 -8926.613|-141.109 -8909.322|-232.796 -8909.200|-232.845 -8926.891|-232.705 -8944.571|-232.460 -8959.527|-205.086 -8959.582|-201.828 -8962.851
507 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
508 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
509 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
510 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
511 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
512 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
513 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
514 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
515 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
516 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
601 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
602 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
603 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
604 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
605 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
606 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
608 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
609 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
610 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
611 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
612 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
613 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
614 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
615 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
616 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
701 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
702 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
703 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
704 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
705 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
706 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
707 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
708 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
709 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
710 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
801 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
802 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
803 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
804 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
805 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
806 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
