ADDRESS,POINTS
123 60 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
124 60 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
125 60 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
126 56 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
127 56 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
128 56 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
129 56 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
130 56 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
131 56 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
132 56 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
133 56 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
134 56 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
135 56 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
136 56 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
137 56 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
