ADDRESS,POINTS
208 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
209 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
301 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
302 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
303 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
304 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
305 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
306 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
307 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
21V 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
22V 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
23V 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
24V 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
25V 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
26V 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
27V 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
28V 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
29V 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
30V 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
31V 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
32V 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
33V 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
34V 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
35V 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
36V 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
37V 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
38V 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
39S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
40S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
41S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
42S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
43S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
44S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
45S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
46S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
47S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
48S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
49S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
50S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
51S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
52S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
53S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
54S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
55S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
56S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
57S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
58S 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
