ADDRESS,POINTS
1362 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1360 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1358 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1356 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1354 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1352 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1222 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1219 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1217 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1215 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1213 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1211 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1209 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1207 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1205 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1227 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1229 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1231 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1233 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1235 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1237 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1146 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1151 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1150 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1148 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1111 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1156 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1154 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1152 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1250 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1109 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1248 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1246 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1133 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1135 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1137 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1139 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1141 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1143 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1145 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1147 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1149 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1153 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1155 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1157 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1159 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1162 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1160 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1158 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1244 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1242 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1240 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1238 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1236 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1234 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1232 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1230 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1228 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1204 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1206 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1208 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1210 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1212 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1214 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1216 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1218 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1324 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1300 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1302 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1304 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1306 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1308 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1310 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1312 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1314 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1316 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1318 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1320 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1322 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1319 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1317 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1315 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1313 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1311 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1309 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1307 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1305 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1327 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1329 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1331 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1333 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1335 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1337 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1144 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1142 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1140 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1110 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1112 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1114 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1116 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1118 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1120 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1122 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1119 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1117 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1115 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1113 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1339 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1239 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1241 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1243 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1245 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1247 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
