ADDRESS,POINTS
131 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
133 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
135 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
137 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
139 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
141 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
142 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
138 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
136 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
134 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
130 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
128 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
126 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
124 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
122 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
120 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
118 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
116 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
114 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
112 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
110 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
313 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
315 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
317 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
319 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
321 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
323 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
325 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
327 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
329 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
331 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
333 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
335 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
337 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
339 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
341 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
342 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
340 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
338 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
336 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
334 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
330 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
328 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
326 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
324 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
