ADDRESS,POINTS
109V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
110V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
111V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
112V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
113V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
114V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
115V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
116V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
117V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
118V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
119V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
120V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
121V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
122V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
123V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
124V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
125V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
126S 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
127S 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
128S 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
129S 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
130V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
131V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
132V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
133V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
134V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
135V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
136V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
137V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
138V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
139V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
140V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
141V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
142V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
143V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
144V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
145V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
146V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
147V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
148V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
149V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
150V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
151V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
152V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
153V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
154V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
901 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
902 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
903 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
904 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
905 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
906 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
907 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
908 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
801 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
802 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
803 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
804 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
805 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
806 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
807 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
808 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
701 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
702 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
703 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
704 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
705 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
706 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
707 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
708 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
601 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
602 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
603 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
604 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
605 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
606 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
607 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
608 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
501 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
502 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
503 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
504 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
505 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
506 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
507 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
508 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
401 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
402 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
403 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
404 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
405 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
406 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
407 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
408 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
301 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
302 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
303 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
304 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
305 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
306 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
307 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
308 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
