ADDRESS,POINTS
115V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
116V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
117V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
118V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
119V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
120V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
121V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
122V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
123V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
124V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
125V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
126V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
127V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
128V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
129V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
130V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
131V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
132V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
133V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
134V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
135V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
136V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
137V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
138V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
139V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
140V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
141V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
142V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
143V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
144V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
145V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
146V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
147V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
148V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
149V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
150V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
151V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
152V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
153V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
154V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
155V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
156V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
157V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
158V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
159V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
160V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
161V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
162V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
163V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
164V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
165V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
166V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
167V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
168V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
169V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
170V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
171V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
172V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
173V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
174V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
175V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
176V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
3102 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3101 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3103 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3109 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3111 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3113 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3115 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3117 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3118 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3116 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3114 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3112 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3110 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3108 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3106 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3105 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3104 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3202 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3201 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3203 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3207 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3209 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3211 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3213 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3215 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3217 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3218 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3216 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
3214 TUSCARORA MR NW,-11499.166 9246.752|-11522.256 9246.719|-11524.877 9249.343|-11524.961 9305.141|-11549.819 9305.096|-11549.693 9221.600|-11499.124 9221.678
