ADDRESS,POINTS
1901 19 ST NE,4039.658 2334.664|4039.784 2543.955|4035.226 2548.548|3913.906 2549.159|3913.095 2384.190|3912.830 2330.739|4035.086 2330.116
2222 VERMILLION ST NE,3866.098 2673.631|3925.426 2673.353|3925.475 2722.701|3866.147 2722.979
117 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
118 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
119 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
120 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
121 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
122 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
123 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
124 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
125 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
126 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
127 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
128 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
129 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
130 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
131 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
132 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
133 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
134 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
135 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
136 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
137 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
138 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
139 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
140 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
141 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
142 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
143 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
144 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
145 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
146 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
147 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
148 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
149 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
150 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
151 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
152 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
153 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
154 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
155 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
156 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
157 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
158 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
159 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
160 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
161 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
162 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
163 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
164 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
236 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
235 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
234 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
233 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
232 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
231 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
230 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
229 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
228 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
227 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
226 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
225 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
224 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
223 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
222 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
221 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
220 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
219 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
218 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
217 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
216 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
215 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
214 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
213 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
212 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
211 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
210 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
209 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
208 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
207 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
206 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
205 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
204 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
203 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
202 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
201 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
301 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
302 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
303 2211 19 ST NE,3866.098 2673.631|3866.000 2574.056|3870.649 2569.397|4035.219 2568.674|4039.784 2573.222|4040.161 2903.204|4035.533 2907.730|3870.901 2908.197|3866.336 2903.615|3866.147 2722.979|3925.475 2722.701|3925.426 2673.353
