ADDRESS,POINTS
309 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
312 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
313 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
314 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
315 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
316 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
317 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
318 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
319 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
320 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
321 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
322 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
323 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
324 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
325 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
326 2425 90 AV SW,-3153.543 -8449.754|-3153.557 -8443.649|-3212.815 -8443.816|-3237.100 -8468.245|-3237.198 -8565.385|-3197.171 -8565.441|-3141.275 -8553.721|-3144.693 -8537.308|-3153.424 -8495.388
