ADDRESS,POINTS
1012 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1013 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1014 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1015 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1101 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1102 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1103 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1104 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1105 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1106 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1107 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1108 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1109 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1110 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1111 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1112 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1113 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1114 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1201 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1202 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1203 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1204 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1205 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1206 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1207 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1208 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1209 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1210 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1211 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1212 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1213 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1401 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1402 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1403 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1404 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1405 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1406 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1407 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1408 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
