ADDRESS,POINTS
704 4740 46 AV SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
703 4740 46 AV SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
702 4740 46 AV SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
701 4740 46 AV SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
123 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
122 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
121 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
105 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
106 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
107 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
124 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
117 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
127 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
115 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
129 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
130 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
114 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
113 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
131 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
111 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
101 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
108 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
125 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
118 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
128 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
126 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
120 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
119 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
116 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
132 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
103 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
104 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
110 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
112 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
102 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
109 4545 45 ST SW,-5839.920 -3805.520|-5849.945 -3805.642|-5849.868 -3948.917|-5807.408 -3948.816|-5698.126 -3941.011|-5698.133 -3805.164|-5771.610 -3805.397
