ADDRESS,POINTS
4135 UNIVERSITY AV NW,-5272.420 3305.151|-5264.989 3292.531|-5262.255 3294.143|-5259.578 3289.595|-5255.810 3291.808|-5255.475 3291.241|-5246.219 3296.701|-5256.663 3314.447
217 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
215 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
213 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
211 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
209 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
205 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
201 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
302 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
304 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
306 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
310 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
312 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
314 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
316 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
318 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
320 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
329 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
327 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
325 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
323 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
321 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
319 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
317 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
315 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
313 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
311 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
309 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
305 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
301 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
402 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
404 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
406 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
410 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
412 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
416 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
418 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
420 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
429 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
427 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
425 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
423 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
421 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
419 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
417 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
415 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
413 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
411 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
409 4138 UNIVERSITY AV NW,-5294.579 3359.036|-5268.819 3374.259|-5272.944 3381.264|-5273.377 3381.009|-5273.909 3381.898|-5274.181 3382.632|-5274.153 3383.421|-5273.825 3384.144|-5273.244 3384.667|-5321.660 3356.056|-5300.997 3320.874|-5290.133 3327.279|-5297.844 3340.378|-5294.586 3342.302|-5295.915 3344.559|-5289.518 3348.328|-5294.691 3357.124|-5293.775 3357.669
