ADDRESS,POINTS
2403 33 AV SW,-3035.264 -2683.629|-3042.849 -2683.641|-3042.877 -2717.600|-3027.687 -2717.577|-3027.687 -2717.733|-3027.687 -2717.777|-3012.503 -2717.700|-3012.496 -2683.596|-3020.088 -2683.607|-3027.673 -2683.618
79V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
80V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
81V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
82V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
83V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
84V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
85V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
86V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
87V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
88V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
89V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
90V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
91V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
92V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
93V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
94V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
96V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
97V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
98V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
99V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
100V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
102V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
103V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
106V 3410 20 ST SW,-2642.574 -2704.834|-2641.987 -2704.823|-2641.987 -2702.866|-2644.797 -2702.877|-2644.797 -2704.601|-2647.188 -2704.612|-2647.132 -2709.927|-2641.973 -2709.916|-2641.980 -2706.758|-2642.567 -2706.758
