ADDRESS,POINTS
48V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
49V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
50V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
51V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
52V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
53V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
54V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
55V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
56V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
57V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
58V 929 18 AV SW,-824.798 -1243.266|-860.030 -1243.288|-860.009 -1279.838|-824.777 -1279.816
