ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
29 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
30 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
31 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
32 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
33 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
34 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
35 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
36 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
37 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
38 12625 24 ST SW,Residential,WOODBINE,M-CG,"MULTIPOLYGON (((-114.1182455 50.9399814, -114.119625 50.9399821, -114.1196271 50.9385211, -114.1189571 50.938521, -114.118957 50.9386199, -114.1185089 50.9386199, -114.1184718 50.9386219, -114.1184359 50.938628, -114.1184021 50.938638, -114.1183717 50.9386514, -114.1183454 50.938668, -114.118324 50.9386873, -114.1183083 50.9387085, -114.1182987 50.9387312, -114.1182457 50.9389209, -114.1182455 50.9399814)))"
