ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
202 2734 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1259476 51.0383141, -114.1262347 51.0383138, -114.1262368 51.0379509, -114.1259498 51.0379511, -114.1259476 51.0383141)))"
304 2734 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1259476 51.0383141, -114.1262347 51.0383138, -114.1262368 51.0379509, -114.1259498 51.0379511, -114.1259476 51.0383141)))"
303 2734 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1259476 51.0383141, -114.1262347 51.0383138, -114.1262368 51.0379509, -114.1259498 51.0379511, -114.1259476 51.0383141)))"
301 2734 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1259476 51.0383141, -114.1262347 51.0383138, -114.1262368 51.0379509, -114.1259498 51.0379511, -114.1259476 51.0383141)))"
302 2734 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1259476 51.0383141, -114.1262347 51.0383138, -114.1262368 51.0379509, -114.1259498 51.0379511, -114.1259476 51.0383141)))"
305 2734 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1259476 51.0383141, -114.1262347 51.0383138, -114.1262368 51.0379509, -114.1259498 51.0379511, -114.1259476 51.0383141)))"
404 2734 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1259476 51.0383141, -114.1262347 51.0383138, -114.1262368 51.0379509, -114.1259498 51.0379511, -114.1259476 51.0383141)))"
403 2734 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1259476 51.0383141, -114.1262347 51.0383138, -114.1262368 51.0379509, -114.1259498 51.0379511, -114.1259476 51.0383141)))"
401 2734 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1259476 51.0383141, -114.1262347 51.0383138, -114.1262368 51.0379509, -114.1259498 51.0379511, -114.1259476 51.0383141)))"
402 2734 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1259476 51.0383141, -114.1262347 51.0383138, -114.1262368 51.0379509, -114.1259498 51.0379511, -114.1259476 51.0383141)))"
405 2734 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1259476 51.0383141, -114.1262347 51.0383138, -114.1262368 51.0379509, -114.1259498 51.0379511, -114.1259476 51.0383141)))"
2421 5 AV NW,Non-Residential,WEST HILLHURST,MU-1,"MULTIPOLYGON (((-114.1166379 51.0567889, -114.1166382 51.0571454, -114.1167469 51.0571452, -114.1167466 51.0567887, -114.1166379 51.0567889)))"
1804 34 ST SE,Non-Residential,SOUTHVIEW,MU-1,"MULTIPOLYGON (((-113.983821 51.0370132, -113.9838209 51.0371502, -113.9843421 51.0371496, -113.9843422 51.0370127, -113.983821 51.0370132)))"
4511 BOWNESS RD NW,Non-Residential,MONTGOMERY,MU-1,"MULTIPOLYGON (((-114.1578423 51.0704775, -114.1579824 51.0705823, -114.1583823 51.0703705, -114.1582423 51.0702657, -114.1578423 51.0704775)))"
11 HADDON RD SW,Non-Residential,HAYSBORO,MU-1,"MULTIPOLYGON (((-114.0776588 50.9787791, -114.0766324 50.9786452, -114.0763855 50.979399, -114.0764374 50.9794392, -114.0774424 50.9794394, -114.0776588 50.9787791)))"
1 2234 34 AV SW,Residential,SOUTH CALGARY,MU-1,"MULTIPOLYGON (((-114.1136878 51.0235903, -114.113941 51.0235901, -114.1139414 51.0232843, -114.1136882 51.0232846, -114.1136878 51.0235903)))"
2 2234 34 AV SW,Residential,SOUTH CALGARY,MU-1,"MULTIPOLYGON (((-114.1136878 51.0235903, -114.113941 51.0235901, -114.1139414 51.0232843, -114.1136882 51.0232846, -114.1136878 51.0235903)))"
3 2234 34 AV SW,Residential,SOUTH CALGARY,MU-1,"MULTIPOLYGON (((-114.1136878 51.0235903, -114.113941 51.0235901, -114.1139414 51.0232843, -114.1136882 51.0232846, -114.1136878 51.0235903)))"
4 2234 34 AV SW,Residential,SOUTH CALGARY,MU-1,"MULTIPOLYGON (((-114.1136878 51.0235903, -114.113941 51.0235901, -114.1139414 51.0232843, -114.1136882 51.0232846, -114.1136878 51.0235903)))"
1523 33 AV SW,Residential,SOUTH CALGARY,MU-1,"MULTIPOLYGON (((-114.0960475 51.0235739, -114.0959389 51.023574, -114.0959385 51.0239163, -114.0960471 51.0239161, -114.0961556 51.023916, -114.096156 51.0235738, -114.0960475 51.0235739)))"
1210 11 AV SE,Non-Residential,INGLEWOOD,MU-1,"MULTIPOLYGON (((-114.0360059 51.0402779, -114.0361305 51.0403263, -114.0364111 51.0400388, -114.0362866 51.0399905, -114.0360059 51.0402779)))"
4219 CENTRE ST NW,Residential,HIGHLAND PARK,MU-1,"MULTIPOLYGON (((-114.0626288 51.0902898, -114.0626287 51.0904413, -114.0631939 51.0904413, -114.0631941 51.0902897, -114.0626288 51.0902898)))"
2431 37 ST SW,Residential,GLENDALE,MU-1,"MULTIPOLYGON (((-114.1414596 51.0320062, -114.1418938 51.0320061, -114.1418938 51.0318555, -114.1414596 51.0318556, -114.1414596 51.0320062)))"
1717 52 ST SE,Non-Residential,FOREST LAWN,MU-1,"MULTIPOLYGON (((-113.9586327 51.0386279, -113.9586328 51.0386964, -113.9586328 51.0387649, -113.9591109 51.0387645, -113.9591109 51.038696, -113.9591108 51.0386276, -113.9586327 51.0386279)))"
923 37 ST SW,Non-Residential,ROSSCARROCK,MU-1,"MULTIPOLYGON (((-114.1413114 51.0441903, -114.1418549 51.0441918, -114.1418548 51.0441232, -114.1418546 51.0440546, -114.1413111 51.0440531, -114.1413112 51.0441217, -114.1413114 51.0441903)))"
4521 BOWNESS RD NW,Residential,MONTGOMERY,MU-1,"MULTIPOLYGON (((-114.1583191 51.0707619, -114.1582625 51.0707919, -114.1583329 51.0708445, -114.1583896 51.0708147, -114.1587327 51.0706327, -114.1586623 51.0705801, -114.1583191 51.0707619)))"
1717 52 ST SE,Non-Residential,FOREST LAWN,MU-1,"MULTIPOLYGON (((-113.9586326 51.0384909, -113.9586327 51.0385594, -113.9586327 51.0386279, -113.9591108 51.0386276, -113.9591108 51.0385591, -113.9591107 51.0384906, -113.9589826 51.0384907, -113.9586326 51.0384909)))"
1932 37 ST SW,Residential,KILLARNEY/GLENGARRY,MU-1,"MULTIPOLYGON (((-114.1405043 51.0367593, -114.1410254 51.0367589, -114.1410255 51.0366904, -114.1410255 51.036622, -114.1405043 51.0366223, -114.1405043 51.0366908, -114.1405043 51.0367593)))"
1739 24 ST SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1185259 51.0381636, -114.1184105 51.0381638, -114.1182952 51.0381639, -114.1181799 51.038164, -114.1180637 51.0381669, -114.118064 51.0382833, -114.1181801 51.0382805, -114.1182954 51.0382803, -114.1184107 51.0382802, -114.118526 51.03828, -114.1186413 51.0382799, -114.1186412 51.0381635, -114.1185259 51.0381636)))"
1635 38 ST SW,Residential,ROSSCARROCK,MU-1,"MULTIPOLYGON (((-114.1427585 51.0383206, -114.1432883 51.038321, -114.1432882 51.0382526, -114.1432881 51.0381841, -114.1427584 51.0381837, -114.1427584 51.0382521, -114.1427585 51.0383206)))"
929 37 ST SW,Residential,ROSSCARROCK,MU-1,"MULTIPOLYGON (((-114.1413111 51.0440531, -114.1418546 51.0440546, -114.1418545 51.0439861, -114.1418543 51.0439175, -114.1418541 51.0438489, -114.141854 51.0437804, -114.1413105 51.0437788, -114.1413107 51.0438474, -114.1413108 51.0439159, -114.1413109 51.0439845, -114.1413111 51.0440531)))"
8007 BOWNESS RD NW,Non-Residential,BOWNESS,MU-1,"MULTIPOLYGON (((-114.2018604 51.0883795, -114.2018589 51.0886445, -114.2019242 51.0886854, -114.2030575 51.0886827, -114.203058 51.088381, -114.2030581 51.0883536, -114.2025543 51.0883554, -114.2025542 51.0883773, -114.2024773 51.0883782, -114.2024676 51.0883782, -114.2024337 51.0883783, -114.2023822 51.0883787, -114.2018604 51.0883795)))"
1619 37 ST SW,Non-Residential,ROSSCARROCK,MU-1,"MULTIPOLYGON (((-114.1413864 51.0390722, -114.1418554 51.0390731, -114.1418555 51.0390044, -114.1418554 51.038936, -114.1418554 51.0388675, -114.1418553 51.038799, -114.1413126 51.0387986, -114.1413128 51.0388672, -114.141313 51.0389358, -114.1413132 51.0390044, -114.1413134 51.039073, -114.1413864 51.0390722)))"
1741 24 ST SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1185257 51.0380476, -114.1184104 51.0380477, -114.1182951 51.0380479, -114.1181797 51.0380481, -114.1180634 51.038051, -114.1180637 51.0381669, -114.1181799 51.038164, -114.1182952 51.0381639, -114.1184105 51.0381638, -114.1185259 51.0381636, -114.1186412 51.0381635, -114.1186411 51.0380474, -114.1185257 51.0380476)))"
2516 17 AV SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1189852 51.0379587, -114.11887 51.0379589, -114.1187548 51.0379591, -114.1187266 51.0379592, -114.1187284 51.0382797, -114.1187566 51.0382797, -114.118872 51.0382795, -114.1189873 51.0382794, -114.1190252 51.0382793, -114.1190233 51.0379586, -114.1189852 51.0379587)))"
937 37 ST SW,Residential,ROSSCARROCK,MU-1,"MULTIPOLYGON (((-114.1413105 51.0437788, -114.141854 51.0437804, -114.1418538 51.0437118, -114.1418536 51.0436433, -114.1418535 51.0435747, -114.1418533 51.0435061, -114.1413836 51.0435047, -114.1413099 51.0435045, -114.1413101 51.0435731, -114.1413102 51.0436416, -114.1413104 51.0437102, -114.1413105 51.0437788)))"
1619 37 ST SW,Non-Residential,ROSSCARROCK,MU-1,"MULTIPOLYGON (((-114.1413126 51.0387986, -114.1418553 51.038799, -114.1418552 51.0387305, -114.1418552 51.0386621, -114.1413861 51.0386621, -114.1413123 51.0386615, -114.1413125 51.03873, -114.1413126 51.0387986)))"
1745 24 ST SW,Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1185245 51.0379131, -114.1184091 51.0379133, -114.1182938 51.0379135, -114.1181784 51.0379138, -114.1180631 51.037914, -114.1180634 51.038051, -114.1181797 51.0380481, -114.1182951 51.0380479, -114.1184104 51.0380477, -114.1185257 51.0380476, -114.1186411 51.0380474, -114.1186398 51.0379128, -114.1185245 51.0379131)))"
2512 17 AV SW,Non-Residential,SHAGANAPPI,MU-1,"MULTIPOLYGON (((-114.1186398 51.0379128, -114.1186411 51.0380474, -114.1186412 51.0381635, -114.1186413 51.0382799, -114.1187284 51.0382797, -114.1187266 51.0379592, -114.1187269 51.0379126, -114.1186398 51.0379128)))"
945 37 ST SW,Non-Residential,ROSSCARROCK,MU-1,"MULTIPOLYGON (((-114.1413836 51.0435047, -114.1418533 51.0435061, -114.1418532 51.0434376, -114.141853 51.0433553, -114.1413835 51.0433539, -114.1413836 51.0433946, -114.1413837 51.0434359, -114.1413836 51.0435046, -114.1413836 51.0435047)))"
1216 11 AV SE,Non-Residential,INGLEWOOD,MU-1,"MULTIPOLYGON (((-114.0361621 51.0399421, -114.0360376 51.0398938, -114.0359131 51.0398454, -114.0356322 51.0401328, -114.0357568 51.0401811, -114.0358813 51.0402295, -114.0361621 51.0399421)))"
3115 CENTRE ST NW,Residential,TUXEDO PARK,MU-1,"MULTIPOLYGON (((-114.0627105 51.0802896, -114.0631674 51.0802898, -114.0631673 51.0802213, -114.0631672 51.0801528, -114.0627103 51.0801526, -114.0627104 51.0802211, -114.0627105 51.0802896)))"
7903 BOWNESS RD NW,Residential,BOWNESS,MU-1,"MULTIPOLYGON (((-114.1995054 51.0883569, -114.1995056 51.0886508, -114.1995709 51.0886918, -114.1997617 51.0886912, -114.1997612 51.0883562, -114.1995054 51.0883569)))"
2230 34 AV SW,Residential,SOUTH CALGARY,MU-1,"MULTIPOLYGON (((-114.1134154 51.0235906, -114.1134707 51.0235905, -114.1135792 51.0235904, -114.1136878 51.0235903, -114.1136882 51.0232846, -114.1135796 51.0232847, -114.1134711 51.0232848, -114.1134148 51.0232848, -114.1134154 51.0235906)))"
4034 79 ST NW,Residential,BOWNESS,MU-1,"MULTIPOLYGON (((-114.2010931 51.0884334, -114.2015716 51.0884329, -114.2015715 51.0883438, -114.201093 51.0883445, -114.2010931 51.0884334)))"
2236 34 AV SW,Residential,SOUTH CALGARY,MU-1,"MULTIPOLYGON (((-114.113941 51.0235901, -114.1140134 51.02359, -114.1140857 51.0235899, -114.1140861 51.0232842, -114.1140138 51.0232842, -114.1139414 51.0232843, -114.113941 51.0235901)))"
4036 79 ST NW,Residential,BOWNESS,MU-1,"MULTIPOLYGON (((-114.2010932 51.0885224, -114.2015716 51.0885219, -114.2015716 51.0884329, -114.2010931 51.0884334, -114.2010932 51.0885224)))"
2719 17 AV SW,Residential,KILLARNEY/GLENGARRY,MU-1,"MULTIPOLYGON (((-114.1253614 51.0373167, -114.1253616 51.0373852, -114.1253618 51.0374194, -114.1259039 51.0374187, -114.1259038 51.0373844, -114.1259036 51.037316, -114.1253614 51.0373167)))"
201 2909 17 AV SW,Residential,KILLARNEY/GLENGARRY,MU-1,"MULTIPOLYGON (((-114.1289105 51.0374517, -114.1289102 51.0376789, -114.1293885 51.0376787, -114.1294526 51.0376382, -114.1294522 51.0374515, -114.1289105 51.0374517)))"
202 2909 17 AV SW,Residential,KILLARNEY/GLENGARRY,MU-1,"MULTIPOLYGON (((-114.1289105 51.0374517, -114.1289102 51.0376789, -114.1293885 51.0376787, -114.1294526 51.0376382, -114.1294522 51.0374515, -114.1289105 51.0374517)))"
203 2909 17 AV SW,Residential,KILLARNEY/GLENGARRY,MU-1,"MULTIPOLYGON (((-114.1289105 51.0374517, -114.1289102 51.0376789, -114.1293885 51.0376787, -114.1294526 51.0376382, -114.1294522 51.0374515, -114.1289105 51.0374517)))"
204 2909 17 AV SW,Residential,KILLARNEY/GLENGARRY,MU-1,"MULTIPOLYGON (((-114.1289105 51.0374517, -114.1289102 51.0376789, -114.1293885 51.0376787, -114.1294526 51.0376382, -114.1294522 51.0374515, -114.1289105 51.0374517)))"
205 2909 17 AV SW,Residential,KILLARNEY/GLENGARRY,MU-1,"MULTIPOLYGON (((-114.1289105 51.0374517, -114.1289102 51.0376789, -114.1293885 51.0376787, -114.1294526 51.0376382, -114.1294522 51.0374515, -114.1289105 51.0374517)))"
206 2909 17 AV SW,Residential,KILLARNEY/GLENGARRY,MU-1,"MULTIPOLYGON (((-114.1289105 51.0374517, -114.1289102 51.0376789, -114.1293885 51.0376787, -114.1294526 51.0376382, -114.1294522 51.0374515, -114.1289105 51.0374517)))"
301 2909 17 AV SW,Residential,KILLARNEY/GLENGARRY,MU-1,"MULTIPOLYGON (((-114.1289105 51.0374517, -114.1289102 51.0376789, -114.1293885 51.0376787, -114.1294526 51.0376382, -114.1294522 51.0374515, -114.1289105 51.0374517)))"
302 2909 17 AV SW,Residential,KILLARNEY/GLENGARRY,MU-1,"MULTIPOLYGON (((-114.1289105 51.0374517, -114.1289102 51.0376789, -114.1293885 51.0376787, -114.1294526 51.0376382, -114.1294522 51.0374515, -114.1289105 51.0374517)))"
303 2909 17 AV SW,Residential,KILLARNEY/GLENGARRY,MU-1,"MULTIPOLYGON (((-114.1289105 51.0374517, -114.1289102 51.0376789, -114.1293885 51.0376787, -114.1294526 51.0376382, -114.1294522 51.0374515, -114.1289105 51.0374517)))"
