ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
425 40 AV NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0527691 51.0884973, -114.0527725 51.0886499, -114.0532436 51.0886502, -114.0533744 51.0885685, -114.0533751 51.0885, -114.0527691 51.0884973)))"
416 40 AV NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0538296 51.0892452, -114.0540467 51.0892794, -114.0540488 51.0888357, -114.0538313 51.0888357, -114.0538296 51.0892452)))"
515 36 AV NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0509586 51.0848597, -114.0510021 51.0848868, -114.0510672 51.084887, -114.051176 51.0848872, -114.0512847 51.0848874, -114.0513935 51.0848877, -114.0515023 51.0848879, -114.051611 51.0848881, -114.0517198 51.0848883, -114.0518285 51.0848886, -114.0518599 51.0848886, -114.0519354 51.0848473, -114.0520008 51.0845716, -114.0518266 51.0845715, -114.051718 51.0845715, -114.0516094 51.0845715, -114.0515009 51.0845714, -114.0513923 51.0845714, -114.0512837 51.0845714, -114.0511752 51.0845714, -114.0510666 51.0845714, -114.050958 51.0845713, -114.0509586 51.0848597)))"
4027 14 ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0282268 51.0192543, -114.0282267 51.0193227, -114.0282266 51.0193912, -114.0287704 51.0193909, -114.0287705 51.0193225, -114.0287706 51.0192541, -114.0282268 51.0192543)))"
425 40 AV NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0527659 51.0883575, -114.0533765 51.0883603, -114.0533778 51.0882207, -114.0527627 51.0882178, -114.0527659 51.0883575)))"
208 57 AV SW,Non-Residential,MANCHESTER,I-R,"MULTIPOLYGON (((-114.0673052 51.0028123, -114.0678478 51.0028126, -114.067848 51.0027441, -114.0678481 51.0026755, -114.0678483 51.002607, -114.0673057 51.0026068, -114.0673055 51.0026753, -114.0673054 51.0027438, -114.0673052 51.0028123)))"
4244 17 ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0184505 51.0160102, -114.0190134 51.0160107, -114.0190136 51.0158738, -114.0190138 51.0157369, -114.019014 51.0156, -114.0184516 51.0155998, -114.0184512 51.0157365, -114.0184509 51.0158734, -114.0184505 51.0160102)))"
3632 MANCHESTER RD SE,Non-Residential,MANCHESTER INDUSTRIAL,I-R,"MULTIPOLYGON (((-114.0559195 51.022241, -114.05646 51.0223963, -114.0565049 51.0223339, -114.0565498 51.0222715, -114.0565947 51.0222092, -114.0566396 51.0221468, -114.0560991 51.0219915, -114.0560542 51.0220539, -114.0560093 51.0221162, -114.0559644 51.0221786, -114.0559195 51.022241)))"
311 34 AV SE,Non-Residential,MANCHESTER INDUSTRIAL,I-R,"MULTIPOLYGON (((-114.0584086 51.0225084, -114.0583637 51.0225707, -114.0583187 51.022633, -114.0582738 51.0226953, -114.0582288 51.0227577, -114.0581838 51.02282, -114.0581389 51.0228823, -114.0580939 51.0229446, -114.058049 51.0230069, -114.0579249 51.023179, -114.0584615 51.0231791, -114.0585593 51.0231791, -114.0585745 51.0231579, -114.0586195 51.0230956, -114.0586644 51.0230333, -114.0586772 51.0230156, -114.0587094 51.022971, -114.0587543 51.0229087, -114.0587743 51.0228809, -114.0587993 51.0228463, -114.0588442 51.022784, -114.0588892 51.0227217, -114.0589341 51.0226594, -114.058979 51.0225972, -114.0589791 51.0225971, -114.0586074 51.0224903, -114.0584536 51.0224461, -114.0584086 51.0225084)))"
311 34 AV SE,Non-Residential,MANCHESTER INDUSTRIAL,I-R,"MULTIPOLYGON (((-114.0584086 51.0225084, -114.0583637 51.0225707, -114.0583187 51.022633, -114.0582738 51.0226953, -114.0582288 51.0227577, -114.0581838 51.02282, -114.0581389 51.0228823, -114.0580939 51.0229446, -114.058049 51.0230069, -114.0579249 51.023179, -114.0584615 51.0231791, -114.0585593 51.0231791, -114.0585745 51.0231579, -114.0586195 51.0230956, -114.0586644 51.0230333, -114.0586772 51.0230156, -114.0587094 51.022971, -114.0587543 51.0229087, -114.0587743 51.0228809, -114.0587993 51.0228463, -114.0588442 51.022784, -114.0588892 51.0227217, -114.0589341 51.0226594, -114.058979 51.0225972, -114.0589791 51.0225971, -114.0586074 51.0224903, -114.0584536 51.0224461, -114.0584086 51.0225084)))"
422 40 AV NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0536138 51.0888358, -114.0533963 51.0888358, -114.0533953 51.0891358, -114.0534585 51.0891868, -114.0536124 51.089211, -114.0536138 51.0888358)))"
31 SKYLINE CR NE,Non-Residential,SKYLINE WEST,I-R,"MULTIPOLYGON (((-114.045632 51.0981386, -114.0456796 51.0982719, -114.0462715 51.098188, -114.0462271 51.0980543, -114.045632 51.0981386)))"
4027 14 ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0282269 51.0191859, -114.0282268 51.0192543, -114.0287706 51.0192541, -114.0287708 51.0191856, -114.0282269 51.0191859)))"
3629 BLACKBURN RD SE,Non-Residential,MANCHESTER INDUSTRIAL,I-R,"MULTIPOLYGON (((-114.0550301 51.0224373, -114.0555705 51.0225927, -114.0556155 51.0225303, -114.0556604 51.022468, -114.0557053 51.0224056, -114.0557502 51.0223432, -114.0552098 51.0221878, -114.0551649 51.0222502, -114.05512 51.0223126, -114.055075 51.0223749, -114.0550301 51.0224373)))"
425 40 AV NE,Non-Residential,GREENVIEW INDUSTRIAL PARK,I-R,"MULTIPOLYGON (((-114.0527691 51.0884973, -114.0533751 51.0885, -114.0533765 51.0883603, -114.0527659 51.0883575, -114.0527691 51.0884973)))"
4024 15A ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0229533 51.0193907, -114.0235183 51.0193917, -114.0235183 51.0192547, -114.0229534 51.0192537, -114.0229533 51.0193907)))"
3828 14 ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0273971 51.0203934, -114.0273971 51.0204619, -114.0273971 51.0205303, -114.0273971 51.0205988, -114.0273971 51.0206673, -114.0273971 51.0207357, -114.0273971 51.0208042, -114.0273971 51.0208726, -114.0279399 51.0208725, -114.0279399 51.020804, -114.0279399 51.0207356, -114.0279399 51.0206671, -114.0279399 51.0205987, -114.0279399 51.0205302, -114.0279399 51.0204618, -114.0279399 51.0203933, -114.0273971 51.0203934)))"
