ADDRESS,POINTS
6728 36 ST NE,6465.011 7222.971|6465.011 7231.989|6289.732 7232.111|6285.160 7227.541|6285.153 7141.643|6289.920 7141.632|6464.990 7141.521
1 6620 36 ST NE,6289.920 7141.632|6288.935 7127.132|6287.802 7112.632|6286.537 7098.144|6285.132 7083.677|6285.132 7050.897|6287.530 7050.897|6465.221 7050.808|6464.990 7141.521
2 6620 36 ST NE,6289.920 7141.632|6288.935 7127.132|6287.802 7112.632|6286.537 7098.144|6285.132 7083.677|6285.132 7050.897|6287.530 7050.897|6465.221 7050.808|6464.990 7141.521
3 6620 36 ST NE,6289.920 7141.632|6288.935 7127.132|6287.802 7112.632|6286.537 7098.144|6285.132 7083.677|6285.132 7050.897|6287.530 7050.897|6465.221 7050.808|6464.990 7141.521
4 6620 36 ST NE,6289.920 7141.632|6288.935 7127.132|6287.802 7112.632|6286.537 7098.144|6285.132 7083.677|6285.132 7050.897|6287.530 7050.897|6465.221 7050.808|6464.990 7141.521
5 6620 36 ST NE,6289.920 7141.632|6288.935 7127.132|6287.802 7112.632|6286.537 7098.144|6285.132 7083.677|6285.132 7050.897|6287.530 7050.897|6465.221 7050.808|6464.990 7141.521
6 6620 36 ST NE,6289.920 7141.632|6288.935 7127.132|6287.802 7112.632|6286.537 7098.144|6285.132 7083.677|6285.132 7050.897|6287.530 7050.897|6465.221 7050.808|6464.990 7141.521
7 6620 36 ST NE,6289.920 7141.632|6288.935 7127.132|6287.802 7112.632|6286.537 7098.144|6285.132 7083.677|6285.132 7050.897|6287.530 7050.897|6465.221 7050.808|6464.990 7141.521
8 6620 36 ST NE,6289.920 7141.632|6288.935 7127.132|6287.802 7112.632|6286.537 7098.144|6285.132 7083.677|6285.132 7050.897|6287.530 7050.897|6465.221 7050.808|6464.990 7141.521
9 6620 36 ST NE,6289.920 7141.632|6288.935 7127.132|6287.802 7112.632|6286.537 7098.144|6285.132 7083.677|6285.132 7050.897|6287.530 7050.897|6465.221 7050.808|6464.990 7141.521
110 6600 36 ST NE,6289.920 7141.632|6288.935 7127.132|6287.802 7112.632|6286.537 7098.144|6285.132 7083.677|6285.132 7050.897|6287.530 7050.897|6465.221 7050.808|6464.990 7141.521
120 6600 36 ST NE,6289.920 7141.632|6288.935 7127.132|6287.802 7112.632|6286.537 7098.144|6285.132 7083.677|6285.132 7050.897|6287.530 7050.897|6465.221 7050.808|6464.990 7141.521
130 6600 36 ST NE,6289.920 7141.632|6288.935 7127.132|6287.802 7112.632|6286.537 7098.144|6285.132 7083.677|6285.132 7050.897|6287.530 7050.897|6465.221 7050.808|6464.990 7141.521
140 6600 36 ST NE,6289.920 7141.632|6288.935 7127.132|6287.802 7112.632|6286.537 7098.144|6285.132 7083.677|6285.132 7050.897|6287.530 7050.897|6465.221 7050.808|6464.990 7141.521
150 6600 36 ST NE,6289.920 7141.632|6288.935 7127.132|6287.802 7112.632|6286.537 7098.144|6285.132 7083.677|6285.132 7050.897|6287.530 7050.897|6465.221 7050.808|6464.990 7141.521
160 6600 36 ST NE,6289.920 7141.632|6288.935 7127.132|6287.802 7112.632|6286.537 7098.144|6285.132 7083.677|6285.132 7050.897|6287.530 7050.897|6465.221 7050.808|6464.990 7141.521
