ADDRESS,POINTS
148 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
146 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
144 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
142 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
140 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
138 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
136 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
134 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
132 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
130 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
128 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
126 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
124 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
122 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
120 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
118 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
116 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
114 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
316 RIVERGLEN DR SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
314 RIVERGLEN DR SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
312 RIVERGLEN DR SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
310 RIVERGLEN DR SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
104 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
106 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
108 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
110 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
112 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
117 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
115 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
113 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
111 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
109 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
107 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
105 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
103 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
183 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
181 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
179 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
177 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
175 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
173 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
171 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
169 RIVERGLEN PA SE,4144.592 -8409.579|4299.613 -8409.523|4298.921 -8396.313|4297.865 -8383.126|4296.439 -8369.971|4294.643 -8356.861|4292.489 -8343.807|4289.966 -8330.820|4287.086 -8317.910|4283.849 -8305.078|4145.088 -8342.473
